ACCT_ID,SERIAL_NBR
2443182000,SS17905782
7078060123,GE3757495
8877172000,GE9328620
2566371750,GE9444214
9395183742,SS13792080
2899759617,GE3757243
9026716467,4978117
4515587940,15555690
5857573766,75193114
9763732672,GE9910916
1476182000,GE3757815
1337633705,GE3660980
889272000,GE3733045
5612382000,56358726
6809182000,GE9800949
9754898587,GE9786117
2895182000,GE3654837
8394772000,1147224
9213772000,GE9330992
3297215375,GE9799571
8323046913,GE9784077
8769282000,GE9321704
3859282000,GE9326702
1672382000,GE9442306
6930382000,1792575
3720093000,15005458
556817092,GE3621576
5372958433,GE3925308
8624772000,SS17953275
9018693031,23583807
319095237,GE9786266
5132672000,GE9444156
5896954598,9174362
1300264188,GE3926014
1298672000,GE9442509
2706272862,71780089
931182000,12212463
5550382000,GE9364133
4563213183,8371115
2808772000,56578572
9803472000,GE9357345
3673731989,GE9814647
448921949,GE3658166
4593772000,1396009
9502529986,GE9812375
6343472000,GE9855602
5711772000,1942052
3720350626,GE4231537
4007572000,GE9420210
6987769012,GE9361279
2535872000,GE9415221
6324172000,61833420
7529972000,GE3621448
5294542148,GE9812024
2043277464,GE3758375
6006448919,GE9911038
3900977275,72519592
8842396740,SS17446620
9134858539,664078
3917230863,9417062
5161647993,GE3925262
9122372000,GE3926359
6977072000,212178
9002821185,GE9854573
3563772000,1793190
5299223164,8929407
7916393888,U285642
5480972000,GE3926074
7009072000,GE9767185
7155535275,14828942
4447267928,1523846
8934182000,9175088
3358072000,GE9329094
7257391606,GE9326661
827182000,GE3925787
4413282000,GE9443730
4077182000,9417465
7406201256,1793324
8914172000,56579079
3227182000,GE9390638
2491031990,GE9912590
8028471866,GE9330747
9860910535,GE9323306
4081994109,SS17575765
8042572000,GE9418339
1686872000,4952280
4208615121,GE3875675
35372000,4206885
593280085,GE3925201
9377641708,GE3624707
1067082000,SS17949676
9510787833,GE3661746
4653182000,1233545
837432390,GE9330251
3748072000,62582739
5006930930,8065374
8406472000,GE9847128
8780872000,GE9420633
6069029532,GE3621870
9323423318,7722194
32670836,GE9322945
9826692486,GE9391981
5244134636,GE3732316
4174085349,GE9357372
9755765660,GE3876354
6463772000,GE9328304
5361039801,11615049
4509372000,11339580
618618024,GE3925989
7296559669,GE9851159
2223772000,GE3623335
6223745018,1548160
39472000,GE3968751
1167172000,SS11383734
4889116397,GE9387901
8998182000,GE9814054
4432567151,GE9416617
1081387401,GE3621864
5906235107,GE9389168
9793972919,56596786
2009672000,26500
7487674885,2979605
3959214626,GE3925383
2492672000,4898249
3178272000,57631130
9278084620,GE3926668
1848472000,SS13785969
2917231925,GE3926023
6681686650,GE9911388
5190221585,GE3624681
9176972000,GE3659316
932056609,SS17534520
286182000,13613699
1069231775,SS18359682
2182759124,GE9322442
6176182000,57630952
3629472000,42233555
3910382000,GE9391244
8476572000,GE3859830
7148500012,13609642
9147182000,SS17715145
5897763006,1180248
4043903367,GE9850474
3920956022,GE8572093
4849254404,GE9442705
4175372000,GE3645525
750872000,GE3624311
1598082000,56581732
1289778844,GE3625309
7819271218,GE9364440
4578945241,GE9417700
9341472000,606500
5818772000,56604600
8894673820,GE3755231
5638672000,4206946
6382451352,23573166
6199866113,GE9769057
9217021960,71777077
4479219924,4969350
787072000,GE9391714
20972000,GE9415204
501372000,GE9443124
7383700558,GE9323590
8548472000,GE9783737
3924380280,664175
945372000,4980848
537577458,GE9847416
1311228422,GE9356817
4073317248,GE9854341
1394172000,57631684
4897301111,GE9895199
7954566402,GE3835152
240672000,GE3834513
3227972000,GE3911885
8414009974,GE9882298
8996772000,GE9894993
1912451022,GE9856689
6765275914,13525188
9686272000,GE3623945
4150975854,662823
2105872000,1213087
8069323256,GE9414682
9204701758,GE9416029
3852644228,GE9849210
8925527390,GE3859516
6578791295,GE9810854
3253119395,GE9365876
7404464419,5942531
2887324835,GE3660557
7115572000,GE9330902
2913596071,330453
2687278762,GE5871572
8031972000,56360062
9498272000,4896052
1627672000,11388066
209182000,GE9322652
3387772000,GE9800159
8755772000,GE9388513
5015972000,GE9850499
1867572000,15555392
5957473088,1736735
5901910207,23574292
7371461673,GE9364127
4328671267,4367738
8808376731,JUCA54568
6317472000,GE9833104
9596202833,GE9327888
8022272000,GE3798108
75137207,26580074
3327156294,GE9327138
8362925200,26579397
6704872000,GE3645789
9882372000,4206416
7507543000,15005330
9264718198,GE3625178
8717802850,4982737
7196445764,13502831
5586672000,GE9443121
452076390,GE3685570
5441846639,1625079
2042093000,7979095
8168282000,SS22112692
741182000,GE3645121
9538672000,GE9365509
9243839875,D732783
8260540734,915522
2628388470,GE3757875
8213182000,11329206
6467894493,GE9322891
950182000,GE3661647
6980667981,GE9420852
1469372000,GE9417779
1893372000,GE3914015
2306096177,1414886
1418495571,GE9362488
4364282000,26580207
800372000,1210049
7030972000,GE3798398
4385231462,GE9790664
1931472000,56362476
5728772000,GE3733604
7248272000,11151028
1349372000,606544
3630093000,15556338
1294182000,8066650
1165372000,13611652
